"Estado","% Ocupación"
"Nuevo León","24.12"
"Aguascalientes","21.42"
"Chihuahua","18.80"
"Colima","18.03"
"Durango","13.59"
"Sinaloa","9.83"
"Querétaro","8.91"
"Hidalgo","7.44"
"Jalisco","7.14"
"Baja California Sur","7.14"
"Tamaulipas","7.09"
"Veracruz de Ignacio de La Llave","6.97"
"Tlaxcala","6.38"
"Ciudad de México","5.71"
"Nayarit","5.49"
"Coahuila de Zaragoza","5.26"
"Guerrero","5.23"
"Morelos","4.91"
"Puebla","4.86"
"San Luis Potosí","3.88"
"Tabasco","3.84"
"México","3.43"
"Zacatecas","3.37"
"Guanajuato","3.20"
"Baja California","3.05"
"Quintana Roo","3.00"
"Oaxaca","2.66"
"Sonora","2.66"
"Michoacán de Ocampo","1.87"
"Chiapas","1.85"
"Yucatán","1.07"
"Campeche","0.29"
