"Estado","% Ocupación"
"Aguascalientes","48.67"
"Baja California","36.29"
"Chihuahua","31.57"
"Coahuila de Zaragoza","26.19"
"Sonora","22.72"
"Durango","22.66"
"Baja California Sur","19.44"
"Zacatecas","17.43"
"Nuevo León","11.90"
"San Luis Potosí","10.52"
"Jalisco","9.68"
"Ciudad de México","9.18"
"Guanajuato","8.70"
"Sinaloa","8.33"
"Tlaxcala","7.93"
"Puebla","7.79"
"Colima","7.14"
"Morelos","7.14"
"Tamaulipas","6.21"
"Nayarit","6.12"
"Yucatán","5.06"
"México","4.50"
"Hidalgo","4.25"
"Veracruz de Ignacio de La Llave","4.21"
"Querétaro","3.75"
"Michoacán de Ocampo","3.70"
"Oaxaca","2.24"
"Tabasco","1.38"
"Guerrero","1.14"
"Quintana Roo","0.52"
"Chiapas","0.38"
"Campeche","0.00"
