"Estado","% Ocupación"
"Aguascalientes","26.31"
"Durango","15.59"
"Nuevo León","12.50"
"Colima","11.29"
"Ciudad de México","10.87"
"Chihuahua","10.63"
"Oaxaca","8.47"
"Zacatecas","6.74"
"Sinaloa","5.81"
"Baja California Sur","5.79"
"Tamaulipas","5.32"
"Veracruz de Ignacio de La Llave","4.82"
"Morelos","4.61"
"Nayarit","4.44"
"Coahuila de Zaragoza","4.43"
"Tlaxcala","4.25"
"Puebla","3.98"
"Jalisco","3.50"
"Hidalgo","3.19"
"México","3.11"
"Baja California","3.10"
"Guanajuato","2.56"
"Sonora","2.10"
"Michoacán de Ocampo","1.39"
"Tabasco","1.33"
"San Luis Potosí","1.33"
"Guerrero","1.12"
"Yucatán","1.07"
"Chiapas","1.02"
"Campeche","0.25"
"Querétaro","0.00"
"Quintana Roo","0.00"
