"Estado","% Ocupación"
"Aguascalientes","58.47"
"Zacatecas","38.14"
"Durango","32.20"
"Chihuahua","30.85"
"Ciudad de México","25.95"
"Baja California","21.45"
"Coahuila de Zaragoza","20.17"
"Nuevo León","20.00"
"Sonora","18.91"
"San Luis Potosí","18.69"
"Baja California Sur","18.51"
"Sinaloa","13.57"
"Jalisco","10.82"
"Nayarit","10.20"
"Guanajuato","9.90"
"Oaxaca","9.67"
"Querétaro","9.00"
"Puebla","8.84"
"Tamaulipas","7.64"
"Colima","7.31"
"Morelos","6.81"
"Hidalgo","6.66"
"Tlaxcala","6.45"
"Michoacán de Ocampo","5.85"
"México","5.85"
"Yucatán","5.69"
"Veracruz de Ignacio de La Llave","5.46"
"Quintana Roo","2.89"
"Tabasco","2.38"
"Campeche","1.76"
"Chiapas","0.74"
"Guerrero","0.65"
