"Estado","% Ocupación"
"Aguascalientes","28.20"
"Nuevo León","19.39"
"Chihuahua","13.79"
"Colima","12.69"
"Zacatecas","9.80"
"Durango","9.09"
"Sinaloa","8.87"
"Tlaxcala","8.51"
"Oaxaca","6.77"
"Tamaulipas","6.13"
"Jalisco","4.37"
"Veracruz de Ignacio de La Llave","4.18"
"Puebla","3.57"
"Coahuila de Zaragoza","3.28"
"México","3.27"
"Baja California Sur","2.94"
"San Luis Potosí","2.67"
"Morelos","2.59"
"Nayarit","2.56"
"Guerrero","2.24"
"Quintana Roo","2.22"
"Hidalgo","2.17"
"Ciudad de México","2.12"
"Sonora","1.98"
"Guanajuato","1.80"
"Baja California","1.69"
"Michoacán de Ocampo","1.27"
"Yucatán","1.07"
"Tabasco","1.00"
"Chiapas","0.80"
"Campeche","0.00"
"Querétaro","0.00"
