"Estado","% Ocupación"
"Aguascalientes","58.06"
"Hidalgo","41.86"
"Zacatecas","33.33"
"Chihuahua","30.00"
"Colima","17.64"
"Tamaulipas","17.56"
"Oaxaca","16.66"
"Coahuila de Zaragoza","11.25"
"Querétaro","10.81"
"Sonora","10.52"
"Nuevo León","10.38"
"Sinaloa","10.00"
"Guerrero","8.33"
"Tabasco","8.04"
"Ciudad de México","7.94"
"Jalisco","7.80"
"Baja California Sur","7.69"
"Veracruz de Ignacio de La Llave","7.29"
"Guanajuato","7.20"
"Morelos","5.66"
"Michoacán de Ocampo","4.45"
"Baja California","3.25"
"Nayarit","2.70"
"Durango","2.56"
"Yucatán","2.50"
"México","2.46"
"San Luis Potosí","2.25"
"Puebla","1.99"
"Chiapas","0.77"
"Campeche","0.30"
"Quintana Roo","0.00"
"Tlaxcala","0.00"
