"Estado","% Ocupación"
"Nayarit","4.76"
"Ciudad de México","2.75"
"Aguascalientes","2.56"
"Yucatán","2.54"
"Nuevo León","1.82"
"Tamaulipas","1.75"
"Sonora","1.58"
"Michoacán de Ocampo","1.38"
"Quintana Roo","1.29"
"Sinaloa","1.20"
"México","0.73"
"Jalisco","0.70"
"Veracruz de Ignacio de La Llave","0.64"
"Puebla","0.46"
"Guanajuato","0.30"
"Morelos","0.00"
"Zacatecas","0.00"
"Guerrero","0.00"
"Durango","0.00"
"Colima","0.00"
"Querétaro","0.00"
"Campeche","0.00"
"San Luis Potosí","0.00"
"Tlaxcala","0.00"
"Tabasco","0.00"
"Coahuila de Zaragoza","0.00"
"Baja California Sur","0.00"
"Baja California","0.00"
"Chihuahua","0.00"
"Oaxaca","0.00"
"Chiapas","0.00"
"Hidalgo","0.00"
