"Estado","% Ocupación"
"Aguascalientes","35.44"
"Oaxaca","32.00"
"Ciudad de México","30.66"
"Hidalgo","30.15"
"Jalisco","26.66"
"Nuevo León","23.51"
"México","22.10"
"Tlaxcala","20.77"
"Nayarit","20.00"
"Colima","19.73"
"Querétaro","19.30"
"Baja California Sur","18.64"
"Tamaulipas","17.82"
"Sonora","17.61"
"Tabasco","17.50"
"Chihuahua","16.90"
"Veracruz de Ignacio de La Llave","15.26"
"Michoacán de Ocampo","14.70"
"Sinaloa","14.37"
"Baja California","14.28"
"Morelos","13.79"
"Puebla","13.75"
"Durango","13.11"
"Coahuila de Zaragoza","11.98"
"Guanajuato","11.62"
"Yucatán","11.05"
"San Luis Potosí","9.62"
"Guerrero","8.19"
"Zacatecas","7.18"
"Chiapas","6.47"
"Quintana Roo","3.70"
"Campeche","2.29"
