"Estado","% Ocupación"
"Nayarit","100.00"
"Aguascalientes","76.19"
"Ciudad de México","70.54"
"Zacatecas","70.00"
"Durango","68.57"
"Jalisco","67.19"
"San Luis Potosí","59.61"
"Querétaro","56.25"
"Nuevo León","52.98"
"Hidalgo","46.15"
"Guanajuato","41.81"
"Chihuahua","40.62"
"México","37.12"
"Tamaulipas","35.52"
"Sinaloa","35.38"
"Puebla","33.33"
"Sonora","28.57"
"Tabasco","27.27"
"Coahuila de Zaragoza","27.27"
"Veracruz de Ignacio de La Llave","21.05"
"Baja California","19.35"
"Yucatán","13.04"
"Guerrero","7.69"
"Oaxaca","6.25"
"Campeche","3.33"
"Tlaxcala","0.00"
"Quintana Roo","0.00"
"Baja California Sur","0.00"
"Morelos","0.00"
"Colima","0.00"
"Chiapas","0.00"
"Michoacán de Ocampo","0.00"
