"Estado","% Ocupación"
"Baja California Sur","61.21"
"Ciudad de México","51.74"
"Sinaloa","51.13"
"Sonora","43.86"
"Nayarit","43.10"
"Quintana Roo","41.98"
"Guerrero","39.47"
"Durango","36.47"
"Nuevo León","35.40"
"Tamaulipas","35.09"
"Oaxaca","34.84"
"Hidalgo","34.40"
"Veracruz de Ignacio de La Llave","31.23"
"México","30.48"
"Colima","27.27"
"Jalisco","26.73"
"Tabasco","25.95"
"Aguascalientes","23.00"
"Yucatán","21.30"
"Baja California","20.57"
"Morelos","18.66"
"Tlaxcala","17.10"
"Michoacán de Ocampo","17.00"
"Querétaro","15.73"
"Campeche","13.61"
"Puebla","11.61"
"Chihuahua","11.59"
"San Luis Potosí","11.01"
"Chiapas","10.64"
"Coahuila de Zaragoza","9.09"
"Zacatecas","8.91"
"Guanajuato","4.53"
