"Estado","% Ocupación"
"Aguascalientes","50.00"
"Tabasco","41.72"
"Jalisco","38.03"
"Puebla","36.32"
"Ciudad de México","34.66"
"Tlaxcala","32.47"
"Nuevo León","32.31"
"Michoacán de Ocampo","31.22"
"Oaxaca","31.13"
"Yucatán","30.92"
"Tamaulipas","30.76"
"Morelos","28.57"
"México","27.43"
"Chihuahua","27.38"
"Zacatecas","26.36"
"Nayarit","26.08"
"Baja California","24.78"
"Veracruz de Ignacio de La Llave","23.96"
"Querétaro","23.69"
"Durango","23.23"
"Colima","22.89"
"Sonora","15.97"
"Hidalgo","15.62"
"Coahuila de Zaragoza","14.64"
"Guanajuato","14.58"
"Chiapas","13.33"
"San Luis Potosí","12.96"
"Sinaloa","12.38"
"Campeche","10.13"
"Quintana Roo","9.42"
"Baja California Sur","8.49"
"Guerrero","5.06"
