"Estado","% Ocupación"
"Yucatán","80.00"
"Coahuila de Zaragoza","60.00"
"Nuevo León","35.69"
"Tabasco","34.14"
"Tamaulipas","33.69"
"Zacatecas","33.33"
"Colima","33.33"
"Sonora","31.81"
"Quintana Roo","31.34"
"Durango","31.11"
"Sinaloa","28.94"
"Querétaro","27.27"
"Aguascalientes","25.80"
"Veracruz de Ignacio de La Llave","20.20"
"México","19.46"
"Campeche","17.64"
"Ciudad de México","14.53"
"Jalisco","13.33"
"Oaxaca","11.94"
"Puebla","10.52"
"Guerrero","10.25"
"Chihuahua","10.00"
"Baja California","9.30"
"Guanajuato","8.92"
"San Luis Potosí","7.27"
"Chiapas","6.34"
"Michoacán de Ocampo","6.25"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
"Nayarit","0.00"
"Morelos","0.00"
"Hidalgo","0.00"
