"Estado","% Ocupación"
"Aguascalientes","24.32"
"Chihuahua","16.49"
"Nuevo León","13.44"
"Colima","12.50"
"Ciudad de México","12.03"
"Sinaloa","9.35"
"Tlaxcala","8.51"
"Durango","8.23"
"Zacatecas","8.00"
"Oaxaca","6.34"
"Jalisco","4.92"
"Nayarit","4.76"
"Veracruz de Ignacio de La Llave","4.47"
"Tamaulipas","3.79"
"Sonora","3.73"
"Coahuila de Zaragoza","3.34"
"México","3.00"
"Puebla","2.35"
"Guerrero","2.24"
"San Luis Potosí","2.23"
"Quintana Roo","2.22"
"Baja California","2.17"
"Guanajuato","1.87"
"Michoacán de Ocampo","1.27"
"Hidalgo","1.09"
"Yucatán","1.07"
"Morelos","1.03"
"Chiapas","0.78"
"Tabasco","0.72"
"Querétaro","0.00"
"Baja California Sur","0.00"
"Campeche","0.00"
