"Estado","% Ocupación"
"Coahuila de Zaragoza","100.00"
"Aguascalientes","57.57"
"Querétaro","56.25"
"Durango","53.48"
"Sonora","40.00"
"Baja California","33.33"
"Yucatán","33.33"
"Puebla","28.26"
"Zacatecas","27.77"
"Nuevo León","27.36"
"Ciudad de México","24.39"
"Tamaulipas","22.95"
"Chihuahua","20.83"
"Guanajuato","18.51"
"San Luis Potosí","17.94"
"Michoacán de Ocampo","16.66"
"Sinaloa","12.96"
"Jalisco","12.29"
"Veracruz de Ignacio de La Llave","12.24"
"Tabasco","12.12"
"México","10.86"
"Colima","7.69"
"Oaxaca","6.25"
"Campeche","3.33"
"Guerrero","3.22"
"Quintana Roo","0.00"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
"Morelos","0.00"
"Hidalgo","0.00"
"Chiapas","0.00"
