"Estado","% Ocupación"
"Yucatán","78.26"
"Quintana Roo","42.55"
"Tamaulipas","41.07"
"Coahuila de Zaragoza","40.00"
"Campeche","35.29"
"Zacatecas","33.33"
"Nuevo León","32.96"
"Sonora","32.43"
"Querétaro","31.81"
"Tabasco","30.68"
"Sinaloa","28.37"
"México","24.42"
"Durango","21.73"
"Veracruz de Ignacio de La Llave","15.68"
"Aguascalientes","15.09"
"Puebla","14.75"
"Chihuahua","14.63"
"Michoacán de Ocampo","12.50"
"Jalisco","10.32"
"Ciudad de México","8.63"
"Guerrero","7.89"
"Baja California","7.69"
"Chiapas","6.34"
"Oaxaca","6.00"
"Guanajuato","5.63"
"San Luis Potosí","5.55"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
"Hidalgo","0.00"
"Colima","0.00"
"Morelos","0.00"
"Nayarit","0.00"
