"Estado","% Ocupación"
"Aguascalientes","51.61"
"Sonora","46.66"
"Chihuahua","46.51"
"Zacatecas","44.44"
"Durango","44.18"
"Querétaro","43.75"
"Yucatán","33.33"
"Baja California","26.66"
"Nuevo León","22.85"
"Puebla","21.42"
"Sinaloa","17.85"
"Tamaulipas","17.46"
"San Luis Potosí","15.78"
"Guanajuato","14.81"
"México","13.86"
"Coahuila de Zaragoza","13.79"
"Ciudad de México","13.77"
"Jalisco","10.05"
"Tabasco","9.83"
"Oaxaca","8.33"
"Veracruz de Ignacio de La Llave","4.16"
"Baja California Sur","0.00"
"Chiapas","0.00"
"Hidalgo","0.00"
"Quintana Roo","0.00"
"Tlaxcala","0.00"
"Campeche","0.00"
"Morelos","0.00"
"Guerrero","0.00"
"Colima","0.00"
"Nayarit","0.00"
"Michoacán de Ocampo","0.00"
