"Estado","% Ocupación"
"Aguascalientes","49.23"
"Morelos","42.85"
"Puebla","34.86"
"Tlaxcala","34.78"
"Tabasco","34.42"
"Tamaulipas","33.33"
"Yucatán","32.22"
"Ciudad de México","30.89"
"Jalisco","30.61"
"Nuevo León","29.53"
"Michoacán de Ocampo","29.41"
"Oaxaca","28.31"
"Hidalgo","28.22"
"México","27.88"
"Chihuahua","27.33"
"Zacatecas","26.36"
"Querétaro","26.31"
"Veracruz de Ignacio de La Llave","26.12"
"Nayarit","23.52"
"Baja California","22.10"
"Colima","21.25"
"San Luis Potosí","20.13"
"Durango","19.26"
"Coahuila de Zaragoza","15.26"
"Guanajuato","15.05"
"Sonora","13.83"
"Chiapas","13.70"
"Sinaloa","11.63"
"Campeche","8.69"
"Baja California Sur","8.66"
"Quintana Roo","7.69"
"Guerrero","6.21"
