"Estado","% Ocupación"
"Querétaro","90.00"
"Aguascalientes","54.83"
"Yucatán","50.00"
"Puebla","49.33"
"Guanajuato","46.66"
"Colima","46.15"
"Coahuila de Zaragoza","40.00"
"Tabasco","38.70"
"Chihuahua","38.09"
"Michoacán de Ocampo","36.36"
"Tamaulipas","34.95"
"Ciudad de México","33.13"
"Durango","32.60"
"Jalisco","31.76"
"Sonora","30.61"
"México","29.62"
"Nuevo León","28.12"
"Veracruz de Ignacio de La Llave","26.02"
"Baja California","22.85"
"Morelos","21.73"
"San Luis Potosí","21.73"
"Sinaloa","19.23"
"Oaxaca","17.85"
"Chiapas","17.77"
"Hidalgo","10.71"
"Quintana Roo","6.00"
"Guerrero","2.43"
"Nayarit","0.00"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
"Zacatecas","0.00"
"Campeche","0.00"
