"Estado","% Ocupación"
"Morelos","51.92"
"Aguascalientes","46.56"
"Nuevo León","39.96"
"Tlaxcala","39.63"
"Tabasco","38.30"
"Veracruz de Ignacio de La Llave","36.98"
"Jalisco","36.41"
"Michoacán de Ocampo","36.08"
"Ciudad de México","35.77"
"Tamaulipas","34.84"
"Puebla","34.70"
"Colima","34.06"
"Yucatán","33.33"
"Baja California Sur","31.94"
"México","30.56"
"Querétaro","30.53"
"Hidalgo","29.19"
"Baja California","27.40"
"Durango","25.68"
"San Luis Potosí","25.15"
"Zacatecas","23.13"
"Oaxaca","21.91"
"Nayarit","20.68"
"Sonora","20.00"
"Coahuila de Zaragoza","19.14"
"Chihuahua","19.10"
"Guanajuato","18.05"
"Chiapas","15.82"
"Guerrero","10.66"
"Sinaloa","10.13"
"Quintana Roo","8.71"
"Campeche","7.40"
