"Estado","% Ocupación"
"Aguascalientes","58.06"
"Chihuahua","53.33"
"Querétaro","50.00"
"Zacatecas","44.44"
"Durango","39.13"
"Puebla","30.61"
"Nuevo León","28.81"
"Ciudad de México","26.15"
"Sonora","21.05"
"Sinaloa","14.54"
"Jalisco","13.66"
"Tamaulipas","13.11"
"Guanajuato","11.11"
"Coahuila de Zaragoza","10.34"
"Veracruz de Ignacio de La Llave","9.43"
"México","8.57"
"Tabasco","6.84"
"Hidalgo","6.66"
"San Luis Potosí","3.84"
"Chiapas","2.56"
"Quintana Roo","2.27"
"Guerrero","1.23"
"Baja California","0.00"
"Yucatán","0.00"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
"Nayarit","0.00"
"Oaxaca","0.00"
"Michoacán de Ocampo","0.00"
"Campeche","0.00"
"Colima","0.00"
"Morelos","0.00"
