"Estado","% Ocupación"
"Coahuila de Zaragoza","66.66"
"Yucatán","57.14"
"Zacatecas","55.55"
"Aguascalientes","54.83"
"Chihuahua","50.00"
"Durango","44.18"
"Querétaro","43.75"
"Sinaloa","28.94"
"Sonora","28.57"
"Baja California","24.24"
"San Luis Potosí","23.07"
"Ciudad de México","22.64"
"Nuevo León","18.93"
"Guanajuato","17.85"
"Puebla","17.50"
"México","16.50"
"Jalisco","13.88"
"Tamaulipas","13.33"
"Tabasco","10.29"
"Veracruz de Ignacio de La Llave","6.12"
"Quintana Roo","4.00"
"Oaxaca","0.00"
"Baja California Sur","0.00"
"Guerrero","0.00"
"Nayarit","0.00"
"Michoacán de Ocampo","0.00"
"Tlaxcala","0.00"
"Hidalgo","0.00"
"Chiapas","0.00"
"Campeche","0.00"
"Morelos","0.00"
"Colima","0.00"
