"Estado","% Ocupación"
"Tlaxcala","40.74"
"Ciudad de México","15.83"
"Querétaro","14.70"
"Aguascalientes","12.98"
"Baja California Sur","10.71"
"Morelos","10.34"
"Nuevo León","9.67"
"Oaxaca","8.06"
"Colima","6.89"
"México","6.71"
"Veracruz de Ignacio de La Llave","6.60"
"Nayarit","5.71"
"Sonora","5.08"
"Puebla","5.02"
"Jalisco","4.90"
"Chihuahua","4.70"
"Baja California","4.47"
"Michoacán de Ocampo","3.93"
"Sinaloa","3.92"
"Yucatán","3.42"
"Hidalgo","3.26"
"Zacatecas","2.67"
"Tabasco","2.67"
"Tamaulipas","2.01"
"Guanajuato","1.98"
"San Luis Potosí","1.88"
"Chiapas","1.60"
"Durango","1.56"
"Coahuila de Zaragoza","1.43"
"Campeche","0.00"
"Quintana Roo","0.00"
"Guerrero","0.00"
