"Estado","% Ocupación"
"Coahuila de Zaragoza","100.00"
"Aguascalientes","66.66"
"Durango","60.00"
"Querétaro","56.25"
"Michoacán de Ocampo","50.00"
"Ciudad de México","48.22"
"Jalisco","46.02"
"Nuevo León","36.36"
"Sonora","32.43"
"Puebla","32.39"
"Hidalgo","30.76"
"San Luis Potosí","30.00"
"Veracruz de Ignacio de La Llave","28.84"
"Tamaulipas","28.37"
"Tabasco","27.38"
"Guanajuato","23.21"
"México","22.22"
"Chihuahua","21.62"
"Baja California","18.75"
"Zacatecas","16.66"
"Sinaloa","16.39"
"Yucatán","8.33"
"Guerrero","7.50"
"Campeche","5.26"
"Baja California Sur","0.00"
"Quintana Roo","0.00"
"Oaxaca","0.00"
"Nayarit","0.00"
"Morelos","0.00"
"Tlaxcala","0.00"
"Chiapas","0.00"
"Colima","0.00"
