"Estado","% Ocupación"
"Aguascalientes","65.35"
"Durango","47.45"
"Zacatecas","38.97"
"Chihuahua","37.36"
"Ciudad de México","35.90"
"Nuevo León","34.46"
"Sonora","32.50"
"Baja California","30.00"
"Coahuila de Zaragoza","30.00"
"Baja California Sur","29.88"
"Colima","28.88"
"San Luis Potosí","28.03"
"Jalisco","27.88"
"Nayarit","25.92"
"Oaxaca","21.42"
"Yucatán","21.34"
"Querétaro","21.27"
"Sinaloa","20.75"
"Puebla","20.25"
"Morelos","20.00"
"Hidalgo","19.00"
"México","15.41"
"Tamaulipas","14.77"
"Guanajuato","13.07"
"Michoacán de Ocampo","12.50"
"Tlaxcala","11.26"
"Quintana Roo","10.44"
"Veracruz de Ignacio de La Llave","10.35"
"Tabasco","9.09"
"Guerrero","5.11"
"Campeche","3.70"
"Chiapas","3.05"
