"Estado","% Ocupación"
"Aguascalientes","49.09"
"Nuevo León","21.21"
"Querétaro","17.14"
"Colima","16.41"
"Ciudad de México","15.88"
"Baja California Sur","14.63"
"Chihuahua","12.80"
"Durango","12.62"
"Jalisco","10.72"
"Veracruz de Ignacio de La Llave","10.33"
"Coahuila de Zaragoza","9.85"
"Oaxaca","9.78"
"Baja California","9.74"
"Tlaxcala","9.61"
"Guerrero","9.35"
"Sonora","9.04"
"Tamaulipas","8.80"
"Sinaloa","8.33"
"Morelos","8.06"
"Puebla","6.97"
"Michoacán de Ocampo","6.52"
"Quintana Roo","5.55"
"México","5.48"
"San Luis Potosí","4.76"
"Guanajuato","4.73"
"Zacatecas","4.70"
"Hidalgo","4.54"
"Tabasco","3.13"
"Chiapas","2.85"
"Nayarit","2.19"
"Yucatán","1.68"
"Campeche","1.00"
