"Estado","% Ocupación"
"Aguascalientes","48.66"
"Ciudad de México","38.17"
"Jalisco","33.93"
"Nuevo León","32.35"
"Querétaro","28.22"
"Oaxaca","27.58"
"Nayarit","26.66"
"México","25.79"
"Sonora","25.77"
"Baja California","25.68"
"Hidalgo","25.64"
"San Luis Potosí","25.37"
"Colima","24.59"
"Puebla","23.87"
"Chihuahua","23.44"
"Tlaxcala","22.97"
"Tamaulipas","22.11"
"Baja California Sur","21.97"
"Michoacán de Ocampo","20.57"
"Coahuila de Zaragoza","20.37"
"Morelos","17.18"
"Veracruz de Ignacio de La Llave","16.44"
"Durango","16.43"
"Yucatán","16.39"
"Zacatecas","15.34"
"Sinaloa","15.21"
"Guanajuato","13.50"
"Tabasco","11.00"
"Guerrero","10.58"
"Chiapas","5.75"
"Quintana Roo","5.00"
"Campeche","0.76"
