"Estado","% Ocupación"
"Baja California Sur","53.52"
"Yucatán","44.97"
"Tabasco","40.19"
"Sonora","24.59"
"Colima","21.66"
"Oaxaca","21.59"
"Tamaulipas","19.08"
"Sinaloa","19.02"
"Nuevo León","17.78"
"Quintana Roo","16.94"
"Ciudad de México","15.61"
"Baja California","14.07"
"Durango","13.43"
"Nayarit","12.79"
"San Luis Potosí","9.30"
"Michoacán de Ocampo","8.62"
"Jalisco","8.43"
"Aguascalientes","8.39"
"México","8.27"
"Veracruz de Ignacio de La Llave","7.54"
"Tlaxcala","7.31"
"Chihuahua","7.14"
"Coahuila de Zaragoza","6.66"
"Hidalgo","6.20"
"Guerrero","6.04"
"Puebla","5.97"
"Campeche","4.16"
"Chiapas","3.59"
"Zacatecas","3.12"
"Querétaro","1.98"
"Guanajuato","1.20"
"Morelos","0.00"
