"Estado","% Ocupación"
"Morelos","52.17"
"Aguascalientes","46.61"
"Tlaxcala","32.09"
"Colima","31.25"
"Baja California","28.62"
"Tabasco","27.93"
"Jalisco","26.19"
"Michoacán de Ocampo","24.52"
"Nayarit","24.13"
"Veracruz de Ignacio de La Llave","23.88"
"Tamaulipas","23.17"
"Puebla","22.00"
"Nuevo León","21.80"
"México","21.43"
"Querétaro","20.96"
"Ciudad de México","20.74"
"Yucatán","20.32"
"Hidalgo","19.17"
"San Luis Potosí","18.60"
"Chihuahua","17.69"
"Sonora","16.17"
"Guanajuato","15.97"
"Coahuila de Zaragoza","15.44"
"Oaxaca","15.00"
"Zacatecas","13.88"
"Sinaloa","12.80"
"Campeche","12.16"
"Durango","11.70"
"Chiapas","6.84"
"Quintana Roo","4.87"
"Baja California Sur","2.02"
"Guerrero","1.02"
