"Estado","% Ocupación"
"Aguascalientes","71.42"
"Ciudad de México","69.15"
"Jalisco","63.53"
"Hidalgo","61.53"
"Durango","57.77"
"Querétaro","56.25"
"Nuevo León","55.74"
"Baja California","55.55"
"San Luis Potosí","46.51"
"Puebla","39.65"
"Chihuahua","38.09"
"Sonora","37.93"
"Tabasco","37.11"
"México","34.00"
"Zacatecas","33.33"
"Tamaulipas","32.83"
"Guanajuato","32.65"
"Coahuila de Zaragoza","30.00"
"Oaxaca","28.57"
"Veracruz de Ignacio de La Llave","26.66"
"Yucatán","25.00"
"Sinaloa","18.03"
"Michoacán de Ocampo","16.66"
"Campeche","6.66"
"Guerrero","5.45"
"Quintana Roo","0.00"
"Morelos","0.00"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
"Chiapas","0.00"
"Colima","0.00"
"Nayarit","0.00"
