"Estado","% Ocupación"
"Durango","79.60"
"Aguascalientes","74.16"
"Ciudad de México","73.77"
"Chihuahua","65.13"
"Zacatecas","64.47"
"San Luis Potosí","63.42"
"Nuevo León","61.48"
"Sonora","55.14"
"Hidalgo","55.09"
"Nayarit","54.48"
"Coahuila de Zaragoza","54.29"
"Jalisco","48.82"
"Baja California","47.38"
"Querétaro","46.07"
"Tamaulipas","45.84"
"Sinaloa","45.02"
"Quintana Roo","44.67"
"Baja California Sur","43.78"
"Guanajuato","43.12"
"Morelos","38.91"
"México","38.90"
"Puebla","37.01"
"Colima","33.33"
"Guerrero","30.44"
"Michoacán de Ocampo","26.70"
"Veracruz de Ignacio de La Llave","24.96"
"Oaxaca","22.75"
"Tabasco","21.21"
"Yucatán","16.06"
"Tlaxcala","14.40"
"Campeche","4.98"
"Chiapas","3.03"
