"Estado","% Ocupación"
"Aguascalientes","44.93"
"Ciudad de México","32.50"
"Jalisco","31.91"
"Oaxaca","31.86"
"Nuevo León","30.59"
"Colima","28.98"
"Hidalgo","27.19"
"México","24.96"
"Querétaro","24.31"
"Coahuila de Zaragoza","24.05"
"Baja California Sur","22.50"
"Puebla","21.01"
"Nayarit","20.68"
"Sonora","19.84"
"Tlaxcala","19.23"
"Tamaulipas","18.65"
"Baja California","18.18"
"Sinaloa","17.91"
"Veracruz de Ignacio de La Llave","17.28"
"San Luis Potosí","17.16"
"Michoacán de Ocampo","16.66"
"Tabasco","13.13"
"Chihuahua","12.56"
"Durango","12.30"
"Guanajuato","11.98"
"Yucatán","11.45"
"Zacatecas","11.11"
"Morelos","11.11"
"Guerrero","8.57"
"Quintana Roo","6.52"
"Chiapas","5.26"
"Campeche","1.58"
