"Estado","% Ocupación"
"Yucatán","78.26"
"Sonora","42.85"
"Quintana Roo","41.30"
"Coahuila de Zaragoza","40.00"
"Nuevo León","37.46"
"Zacatecas","33.33"
"Tabasco","32.14"
"Sinaloa","30.43"
"Durango","26.66"
"México","26.47"
"Querétaro","22.72"
"Tamaulipas","21.23"
"Puebla","18.51"
"Aguascalientes","15.09"
"Veracruz de Ignacio de La Llave","14.95"
"Campeche","12.50"
"Ciudad de México","12.50"
"Michoacán de Ocampo","12.50"
"Jalisco","12.20"
"Guerrero","10.52"
"Oaxaca","9.09"
"Guanajuato","7.14"
"Chihuahua","6.89"
"Chiapas","6.34"
"San Luis Potosí","6.25"
"Morelos","0.00"
"Colima","0.00"
"Baja California Sur","0.00"
"Hidalgo","0.00"
"Baja California","0.00"
"Nayarit","0.00"
"Tlaxcala","0.00"
