"Estado","% Ocupación"
"Querétaro","26.96"
"Aguascalientes","21.10"
"Oaxaca","18.88"
"Ciudad de México","18.00"
"Nuevo León","16.71"
"Veracruz de Ignacio de La Llave","14.97"
"Michoacán de Ocampo","14.20"
"Jalisco","14.13"
"México","12.40"
"Sonora","11.80"
"Colima","11.42"
"Morelos","11.26"
"Baja California","10.42"
"Tamaulipas","9.04"
"Hidalgo","8.10"
"Durango","6.36"
"Tabasco","6.27"
"Yucatán","6.02"
"San Luis Potosí","5.82"
"Chihuahua","5.75"
"Baja California Sur","5.55"
"Sinaloa","5.36"
"Guanajuato","5.22"
"Zacatecas","5.17"
"Puebla","5.04"
"Coahuila de Zaragoza","4.65"
"Nayarit","4.54"
"Quintana Roo","3.04"
"Guerrero","2.99"
"Chiapas","2.98"
"Campeche","2.94"
"Tlaxcala","0.00"
