"Estado","% Ocupación"
"Querétaro","36.84"
"Aguascalientes","31.57"
"Durango","25.53"
"Nuevo León","21.61"
"Sinaloa","19.44"
"Zacatecas","19.04"
"Chihuahua","18.91"
"Nayarit","17.94"
"Ciudad de México","17.86"
"Baja California Sur","16.43"
"Veracruz de Ignacio de La Llave","16.41"
"Colima","15.62"
"Guerrero","14.28"
"Tamaulipas","13.59"
"Tlaxcala","11.11"
"Quintana Roo","10.81"
"Tabasco","10.75"
"Coahuila de Zaragoza","10.45"
"Oaxaca","9.89"
"Hidalgo","9.01"
"Sonora","7.14"
"Guanajuato","5.66"
"Jalisco","5.49"
"México","5.16"
"Yucatán","3.84"
"San Luis Potosí","3.57"
"Morelos","3.04"
"Baja California","2.87"
"Puebla","2.84"
"Michoacán de Ocampo","2.18"
"Campeche","1.09"
"Chiapas","0.00"
