"Estado","% Ocupación"
"Aguascalientes","28.65"
"Ciudad de México","27.05"
"Oaxaca","27.00"
"Querétaro","25.00"
"Jalisco","23.38"
"Colima","21.91"
"Hidalgo","21.55"
"Baja California Sur","20.00"
"México","19.97"
"Nuevo León","19.87"
"Tamaulipas","18.27"
"Morelos","18.03"
"Nayarit","16.36"
"Tlaxcala","16.21"
"Michoacán de Ocampo","16.19"
"Durango","15.59"
"Veracruz de Ignacio de La Llave","15.33"
"Sonora","15.03"
"Puebla","14.85"
"Baja California","14.71"
"Tabasco","13.26"
"Sinaloa","13.09"
"Chihuahua","12.83"
"Coahuila de Zaragoza","9.16"
"Yucatán","8.24"
"Zacatecas","7.69"
"Guerrero","7.52"
"San Luis Potosí","7.50"
"Guanajuato","7.21"
"Quintana Roo","4.30"
"Chiapas","4.00"
"Campeche","2.59"
