"Estado","% Ocupación"
"Durango","85.02"
"Aguascalientes","73.61"
"Ciudad de México","70.99"
"Coahuila de Zaragoza","67.90"
"Chihuahua","63.90"
"Nuevo León","62.17"
"San Luis Potosí","56.98"
"Zacatecas","53.33"
"Sonora","50.27"
"Sinaloa","49.57"
"Hidalgo","49.03"
"Baja California Sur","48.78"
"Nayarit","47.01"
"Baja California","46.22"
"Tamaulipas","45.31"
"Jalisco","44.16"
"Querétaro","43.27"
"Quintana Roo","40.85"
"Guanajuato","39.67"
"Puebla","37.38"
"México","36.04"
"Morelos","30.86"
"Guerrero","30.28"
"Veracruz de Ignacio de La Llave","26.23"
"Michoacán de Ocampo","23.95"
"Colima","21.92"
"Tabasco","21.25"
"Oaxaca","18.79"
"Yucatán","14.13"
"Tlaxcala","10.34"
"Campeche","3.47"
"Chiapas","2.46"
