"Estado","% Ocupación"
"Aguascalientes","65.62"
"Durango","40.54"
"Zacatecas","38.62"
"Chihuahua","37.36"
"Nuevo León","35.69"
"Baja California Sur","35.06"
"Ciudad de México","34.12"
"Hidalgo","33.33"
"Sonora","32.25"
"Sinaloa","31.66"
"Baja California","30.88"
"Nayarit","29.62"
"Coahuila de Zaragoza","29.32"
"Jalisco","26.78"
"Colima","26.66"
"San Luis Potosí","26.08"
"Oaxaca","22.72"
"Querétaro","21.05"
"Yucatán","20.96"
"Morelos","20.40"
"Puebla","17.21"
"México","15.36"
"Tamaulipas","14.70"
"Michoacán de Ocampo","12.70"
"Guanajuato","12.26"
"Quintana Roo","10.82"
"Tlaxcala","10.00"
"Veracruz de Ignacio de La Llave","7.75"
"Tabasco","7.14"
"Guerrero","4.44"
"Chiapas","3.05"
"Campeche","0.83"
