"Estado","% Ocupación"
"Aguascalientes","52.34"
"Tabasco","38.99"
"Jalisco","31.58"
"Baja California","31.55"
"Ciudad de México","30.42"
"Nayarit","27.45"
"Michoacán de Ocampo","27.10"
"Colima","26.92"
"Tlaxcala","26.88"
"México","25.82"
"Tamaulipas","25.49"
"Puebla","24.82"
"Oaxaca","24.56"
"Veracruz de Ignacio de La Llave","24.42"
"Morelos","24.35"
"Nuevo León","24.04"
"Durango","22.22"
"Querétaro","21.42"
"Chihuahua","18.62"
"Zacatecas","17.59"
"Yucatán","17.01"
"Sonora","15.84"
"Coahuila de Zaragoza","15.25"
"Hidalgo","14.05"
"San Luis Potosí","13.19"
"Sinaloa","13.17"
"Guanajuato","11.95"
"Chiapas","8.82"
"Quintana Roo","5.76"
"Campeche","4.22"
"Guerrero","3.70"
"Baja California Sur","2.68"
