"Estado","% Ocupación"
"Querétaro","65.00"
"Aguascalientes","61.29"
"Durango","47.82"
"Yucatán","44.44"
"Zacatecas","44.44"
"Guanajuato","40.74"
"Puebla","38.46"
"San Luis Potosí","33.33"
"Sonora","31.70"
"Michoacán de Ocampo","30.00"
"México","25.24"
"Chihuahua","23.52"
"Nuevo León","23.16"
"Jalisco","22.27"
"Tabasco","21.42"
"Veracruz de Ignacio de La Llave","21.33"
"Ciudad de México","19.26"
"Tamaulipas","18.75"
"Sinaloa","14.63"
"Hidalgo","14.28"
"Baja California","8.57"
"Campeche","6.25"
"Oaxaca","6.25"
"Quintana Roo","6.00"
"Guerrero","3.57"
"Coahuila de Zaragoza","0.00"
"Morelos","0.00"
"Tlaxcala","0.00"
"Colima","0.00"
"Nayarit","0.00"
"Chiapas","0.00"
"Baja California Sur","0.00"
