"Estado","% Ocupación"
"Durango","29.62"
"Nuevo León","20.88"
"Sinaloa","11.50"
"Baja California Sur","9.85"
"Tamaulipas","6.69"
"Tlaxcala","6.38"
"Chihuahua","5.88"
"Aguascalientes","5.71"
"Guerrero","5.63"
"Colima","5.12"
"Coahuila de Zaragoza","3.63"
"Hidalgo","3.26"
"Jalisco","3.16"
"Puebla","3.06"
"Veracruz de Ignacio de La Llave","2.94"
"Sonora","2.77"
"Morelos","2.68"
"México","2.33"
"Ciudad de México","2.29"
"Guanajuato","2.26"
"Quintana Roo","2.23"
"Zacatecas","2.17"
"Baja California","1.69"
"Oaxaca","1.66"
"San Luis Potosí","0.90"
"Michoacán de Ocampo","0.80"
"Yucatán","0.77"
"Chiapas","0.27"
"Tabasco","0.00"
"Campeche","0.00"
"Nayarit","0.00"
"Querétaro","0.00"
