"Estado","% Ocupación"
"Aguascalientes","59.37"
"Durango","41.42"
"Zacatecas","38.38"
"Chihuahua","34.35"
"Baja California","26.74"
"Nuevo León","24.01"
"Coahuila de Zaragoza","23.86"
"San Luis Potosí","23.14"
"Sonora","21.96"
"Baja California Sur","20.33"
"Nayarit","18.05"
"Sinaloa","16.78"
"Jalisco","15.75"
"Colima","15.21"
"Ciudad de México","14.55"
"Puebla","13.19"
"Guanajuato","10.80"
"Tamaulipas","10.43"
"Querétaro","9.34"
"México","8.96"
"Hidalgo","8.79"
"Yucatán","8.24"
"Michoacán de Ocampo","6.66"
"Veracruz de Ignacio de La Llave","6.61"
"Tlaxcala","6.45"
"Oaxaca","6.34"
"Morelos","4.87"
"Quintana Roo","4.11"
"Tabasco","3.84"
"Campeche","2.59"
"Guerrero","1.17"
"Chiapas","0.77"
