"Estado","% Ocupación"
"Yucatán","62.85"
"Coahuila de Zaragoza","60.00"
"Quintana Roo","45.00"
"Oaxaca","44.00"
"Tabasco","40.90"
"Sonora","40.62"
"Nuevo León","37.31"
"Tamaulipas","31.81"
"Sinaloa","28.20"
"Querétaro","25.00"
"San Luis Potosí","23.52"
"Baja California","21.73"
"Aguascalientes","19.35"
"México","18.91"
"Puebla","18.46"
"Zacatecas","16.66"
"Veracruz de Ignacio de La Llave","14.94"
"Campeche","12.50"
"Jalisco","11.05"
"Durango","10.41"
"Michoacán de Ocampo","10.00"
"Guerrero","7.81"
"Ciudad de México","7.66"
"Chihuahua","5.45"
"Chiapas","2.12"
"Nayarit","0.00"
"Tlaxcala","0.00"
"Colima","0.00"
"Guanajuato","0.00"
"Morelos","0.00"
"Baja California Sur","0.00"
"Hidalgo","0.00"
