"Estado","% Ocupación"
"Baja California Sur","54.73"
"Yucatán","42.69"
"Tabasco","42.60"
"Colima","25.42"
"Sonora","24.17"
"Oaxaca","22.22"
"Quintana Roo","20.40"
"Sinaloa","19.02"
"Nuevo León","17.70"
"Tamaulipas","17.21"
"Baja California","14.09"
"Ciudad de México","13.25"
"Durango","9.72"
"Aguascalientes","9.16"
"Nayarit","8.53"
"Hidalgo","8.27"
"Veracruz de Ignacio de La Llave","8.19"
"Michoacán de Ocampo","7.92"
"Chihuahua","7.90"
"San Luis Potosí","7.60"
"Guerrero","7.42"
"Tlaxcala","7.33"
"México","6.87"
"Campeche","6.72"
"Coahuila de Zaragoza","6.71"
"Jalisco","6.65"
"Puebla","6.29"
"Zacatecas","5.26"
"Chiapas","4.94"
"Querétaro","2.76"
"Guanajuato","2.00"
"Morelos","0.00"
