"Estado","% Ocupación"
"Yucatán","44.78"
"Tabasco","35.60"
"Baja California Sur","28.04"
"Nuevo León","20.26"
"Quintana Roo","19.10"
"Colima","17.80"
"Baja California","15.77"
"Nayarit","15.58"
"Tamaulipas","15.56"
"Sinaloa","14.16"
"Sonora","12.29"
"Ciudad de México","11.72"
"Michoacán de Ocampo","11.02"
"Campeche","10.81"
"Chihuahua","10.05"
"Durango","10.00"
"Aguascalientes","9.93"
"Puebla","9.67"
"Veracruz de Ignacio de La Llave","8.21"
"Guerrero","8.07"
"México","8.01"
"Tlaxcala","7.54"
"Jalisco","7.09"
"Zacatecas","6.66"
"Querétaro","6.61"
"Oaxaca","6.49"
"Chiapas","6.44"
"Hidalgo","6.12"
"Coahuila de Zaragoza","5.97"
"San Luis Potosí","4.02"
"Morelos","4.00"
"Guanajuato","1.50"
