"Estado","% Ocupación"
"Aguascalientes","27.50"
"Nuevo León","17.72"
"Colima","16.39"
"Chihuahua","15.15"
"Ciudad de México","14.03"
"Durango","12.74"
"Tlaxcala","10.63"
"Tamaulipas","9.16"
"Hidalgo","9.04"
"Sinaloa","8.46"
"Querétaro","7.92"
"Sonora","6.96"
"Veracruz de Ignacio de La Llave","6.52"
"Nayarit","6.02"
"Morelos","6.01"
"Jalisco","5.97"
"Baja California Sur","5.79"
"Puebla","4.87"
"Guerrero","4.28"
"Baja California","4.26"
"México","3.89"
"Chiapas","3.49"
"San Luis Potosí","3.43"
"Zacatecas","3.37"
"Guanajuato","3.32"
"Coahuila de Zaragoza","3.25"
"Oaxaca","2.73"
"Michoacán de Ocampo","2.59"
"Quintana Roo","2.25"
"Tabasco","0.97"
"Yucatán","0.95"
"Campeche","0.68"
