"Estado","% Ocupación"
"Aguascalientes","63.49"
"Zacatecas","48.95"
"Chihuahua","39.28"
"Durango","35.29"
"Nuevo León","32.16"
"Ciudad de México","30.05"
"Sonora","28.76"
"Nayarit","25.00"
"Baja California","24.69"
"Oaxaca","24.32"
"Baja California Sur","23.07"
"Jalisco","23.01"
"San Luis Potosí","22.55"
"Sinaloa","21.52"
"Colima","19.14"
"Yucatán","18.18"
"Coahuila de Zaragoza","16.37"
"Querétaro","15.00"
"Hidalgo","14.42"
"Michoacán de Ocampo","14.13"
"Puebla","12.83"
"México","11.09"
"Tamaulipas","10.67"
"Guanajuato","9.36"
"Veracruz de Ignacio de La Llave","8.69"
"Morelos","8.62"
"Quintana Roo","8.50"
"Tlaxcala","7.14"
"Tabasco","3.01"
"Chiapas","2.52"
"Guerrero","2.22"
"Campeche","1.88"
