"Estado","% Ocupación"
"Aguascalientes","46.71"
"Tabasco","34.00"
"Tlaxcala","30.48"
"Jalisco","28.10"
"Colima","28.04"
"Baja California","26.83"
"Michoacán de Ocampo","26.48"
"Veracruz de Ignacio de La Llave","24.64"
"Chihuahua","24.46"
"Morelos","24.28"
"Puebla","23.76"
"Ciudad de México","22.64"
"Tamaulipas","21.70"
"Querétaro","20.40"
"México","20.40"
"Nuevo León","19.56"
"Nayarit","18.96"
"Yucatán","18.81"
"San Luis Potosí","17.60"
"Hidalgo","17.44"
"Durango","16.88"
"Guanajuato","16.00"
"Coahuila de Zaragoza","14.48"
"Oaxaca","13.93"
"Sonora","13.45"
"Sinaloa","11.28"
"Chiapas","7.08"
"Campeche","6.55"
"Quintana Roo","5.88"
"Guerrero","2.24"
"Zacatecas","2.04"
"Baja California Sur","1.36"
