"Estado","% Ocupación"
"Tlaxcala","30.43"
"Nuevo León","13.13"
"Querétaro","13.04"
"Ciudad de México","12.13"
"Aguascalientes","11.53"
"Baja California Sur","5.40"
"México","5.36"
"Veracruz de Ignacio de La Llave","5.35"
"Jalisco","5.18"
"Michoacán de Ocampo","5.11"
"Colima","5.08"
"Puebla","4.78"
"Hidalgo","4.25"
"Tamaulipas","3.62"
"Durango","3.61"
"Chihuahua","3.52"
"Baja California","3.33"
"Nayarit","3.03"
"Sonora","2.38"
"Guanajuato","2.27"
"San Luis Potosí","2.02"
"Zacatecas","1.80"
"Yucatán","1.09"
"Campeche","0.91"
"Coahuila de Zaragoza","0.88"
"Chiapas","0.40"
"Tabasco","0.00"
"Sinaloa","0.00"
"Oaxaca","0.00"
"Morelos","0.00"
"Guerrero","0.00"
"Quintana Roo","0.00"
