"Estado","% Ocupación"
"Aguascalientes","58.06"
"Hidalgo","45.23"
"Zacatecas","36.53"
"Sinaloa","28.84"
"Tamaulipas","19.72"
"Chihuahua","19.14"
"Colima","18.75"
"Coahuila de Zaragoza","13.92"
"Querétaro","13.51"
"Guerrero","11.11"
"Oaxaca","10.84"
"Baja California Sur","10.25"
"Nuevo León","9.30"
"Ciudad de México","9.25"
"Jalisco","8.45"
"Guanajuato","8.01"
"Sonora","7.69"
"Nayarit","7.69"
"Veracruz de Ignacio de La Llave","7.60"
"Tabasco","5.45"
"Morelos","4.65"
"Michoacán de Ocampo","4.18"
"Durango","4.16"
"San Luis Potosí","3.36"
"Baja California","2.91"
"México","2.55"
"Puebla","2.25"
"Yucatán","1.88"
"Chiapas","0.76"
"Quintana Roo","0.75"
"Campeche","0.32"
"Tlaxcala","0.00"
