"Estado","% Ocupación"
"Colima","18.75"
"Nuevo León","16.66"
"Chihuahua","12.76"
"Aguascalientes","11.42"
"Sinaloa","10.63"
"Durango","10.22"
"Ciudad de México","9.93"
"Zacatecas","8.00"
"Baja California Sur","5.88"
"Oaxaca","4.91"
"Tamaulipas","4.68"
"Puebla","4.28"
"Coahuila de Zaragoza","4.24"
"Jalisco","3.70"
"Sonora","3.08"
"Quintana Roo","2.96"
"México","2.92"
"Veracruz de Ignacio de La Llave","2.82"
"Guerrero","2.23"
"Tlaxcala","2.12"
"Baja California","1.93"
"Morelos","1.65"
"Hidalgo","1.63"
"Yucatán","1.39"
"San Luis Potosí","1.35"
"Guanajuato","1.21"
"Tabasco","1.21"
"Michoacán de Ocampo","1.21"
"Chiapas","0.83"
"Querétaro","0.00"
"Campeche","0.00"
"Nayarit","0.00"
