"Estado","% Ocupación"
"Durango","15.90"
"Nuevo León","13.77"
"Sinaloa","10.61"
"Aguascalientes","10.25"
"Chihuahua","8.19"
"Tamaulipas","6.86"
"Tlaxcala","6.38"
"Guerrero","5.51"
"Colima","5.12"
"Baja California Sur","4.65"
"Coahuila de Zaragoza","3.90"
"Jalisco","3.72"
"Veracruz de Ignacio de La Llave","3.61"
"Oaxaca","3.50"
"Puebla","2.91"
"Hidalgo","2.73"
"Ciudad de México","2.30"
"Quintana Roo","2.23"
"Zacatecas","2.22"
"Guanajuato","2.02"
"México","1.94"
"Baja California","1.69"
"Morelos","1.64"
"Sonora","1.60"
"San Luis Potosí","0.89"
"Yucatán","0.61"
"Michoacán de Ocampo","0.56"
"Chiapas","0.26"
"Tabasco","0.00"
"Nayarit","0.00"
"Campeche","0.00"
"Querétaro","0.00"
