"Estado","% Ocupación"
"Aguascalientes","17.94"
"Nuevo León","15.42"
"Chihuahua","12.32"
"Sinaloa","11.19"
"Oaxaca","10.86"
"Tamaulipas","7.44"
"Durango","6.66"
"Sonora","4.79"
"Baja California Sur","4.54"
"Veracruz de Ignacio de La Llave","4.15"
"Puebla","3.59"
"Morelos","3.29"
"Hidalgo","3.28"
"Colima","3.22"
"Jalisco","3.19"
"Zacatecas","2.56"
"Nayarit","2.50"
"Guanajuato","2.14"
"Guerrero","1.94"
"Ciudad de México","1.69"
"Tabasco","1.62"
"Michoacán de Ocampo","1.61"
"México","1.37"
"Baja California","1.21"
"Querétaro","0.99"
"Coahuila de Zaragoza","0.92"
"San Luis Potosí","0.89"
"Yucatán","0.77"
"Campeche","0.00"
"Chiapas","0.00"
"Quintana Roo","0.00"
"Tlaxcala","0.00"
