"Estado","% Ocupación"
"Tabasco","58.00"
"Colima","54.78"
"Morelos","50.53"
"Nuevo León","49.30"
"Jalisco","47.39"
"Veracruz de Ignacio de La Llave","46.07"
"Aguascalientes","45.45"
"Ciudad de México","44.55"
"Hidalgo","42.76"
"Michoacán de Ocampo","42.60"
"Puebla","39.03"
"Tlaxcala","38.23"
"Querétaro","38.03"
"Oaxaca","37.90"
"México","37.17"
"Yucatán","36.00"
"Durango","35.89"
"Tamaulipas","35.22"
"San Luis Potosí","33.52"
"Zacatecas","26.11"
"Baja California","24.30"
"Sonora","23.07"
"Coahuila de Zaragoza","22.03"
"Nayarit","21.13"
"Guanajuato","17.04"
"Chiapas","16.50"
"Chihuahua","16.30"
"Quintana Roo","15.78"
"Campeche","15.21"
"Baja California Sur","14.36"
"Guerrero","13.65"
"Sinaloa","13.01"
