"Estado","% Ocupación"
"Tlaxcala","14.28"
"Yucatán","4.34"
"Jalisco","3.09"
"Sonora","2.46"
"Aguascalientes","1.72"
"Tabasco","1.45"
"Baja California","1.35"
"Ciudad de México","1.32"
"Sinaloa","1.26"
"México","1.26"
"Veracruz de Ignacio de La Llave","1.06"
"San Luis Potosí","0.98"
"Puebla","0.95"
"Michoacán de Ocampo","0.76"
"Nuevo León","0.60"
"Guanajuato","0.45"
"Chihuahua","0.00"
"Guerrero","0.00"
"Tamaulipas","0.00"
"Nayarit","0.00"
"Baja California Sur","0.00"
"Oaxaca","0.00"
"Coahuila de Zaragoza","0.00"
"Hidalgo","0.00"
"Chiapas","0.00"
"Colima","0.00"
"Durango","0.00"
"Morelos","0.00"
"Campeche","0.00"
"Zacatecas","0.00"
"Quintana Roo","0.00"
"Querétaro","0.00"
