"Estado","% Ocupación"
"Tabasco","67.61"
"Colima","59.00"
"Jalisco","52.04"
"Nuevo León","51.07"
"Ciudad de México","49.95"
"Morelos","49.42"
"Puebla","47.97"
"Oaxaca","47.57"
"Aguascalientes","46.15"
"Yucatán","45.94"
"Veracruz de Ignacio de La Llave","45.93"
"Hidalgo","43.02"
"San Luis Potosí","42.68"
"Michoacán de Ocampo","41.42"
"Tlaxcala","40.33"
"México","38.56"
"Querétaro","37.73"
"Nayarit","37.30"
"Tamaulipas","35.12"
"Sonora","32.46"
"Durango","29.75"
"Sinaloa","26.24"
"Coahuila de Zaragoza","25.44"
"Zacatecas","24.46"
"Baja California","23.67"
"Guerrero","22.02"
"Chihuahua","19.58"
"Chiapas","16.99"
"Guanajuato","16.30"
"Baja California Sur","15.02"
"Quintana Roo","13.25"
"Campeche","10.14"
