"Estado","% Ocupación"
"Aguascalientes","18.42"
"Chihuahua","17.70"
"Nuevo León","14.49"
"Colima","12.90"
"Sinaloa","9.24"
"Durango","9.09"
"Sonora","8.02"
"Baja California","6.75"
"Zacatecas","6.74"
"Coahuila de Zaragoza","6.38"
"Baja California Sur","5.63"
"Tamaulipas","5.46"
"Ciudad de México","4.85"
"Tlaxcala","4.25"
"Jalisco","4.16"
"Veracruz de Ignacio de La Llave","4.12"
"Querétaro","3.96"
"Puebla","3.77"
"México","3.64"
"Guanajuato","3.46"
"Guerrero","3.31"
"Oaxaca","3.17"
"Hidalgo","3.03"
"Morelos","2.57"
"Yucatán","1.84"
"Quintana Roo","1.52"
"San Luis Potosí","1.36"
"Chiapas","1.08"
"Michoacán de Ocampo","0.92"
"Campeche","0.50"
"Nayarit","0.00"
"Tabasco","0.00"
