"Estado","% Ocupación"
"Aguascalientes","53.16"
"Jalisco","36.36"
"Ciudad de México","36.11"
"Colima","32.60"
"Nuevo León","31.62"
"Querétaro","30.03"
"Hidalgo","27.77"
"Sonora","26.51"
"Nayarit","26.31"
"Tlaxcala","26.08"
"México","25.65"
"Chihuahua","25.11"
"Baja California","25.08"
"Morelos","25.00"
"Tamaulipas","24.32"
"Michoacán de Ocampo","23.18"
"San Luis Potosí","21.52"
"Oaxaca","21.51"
"Baja California Sur","20.96"
"Puebla","19.58"
"Veracruz de Ignacio de La Llave","19.03"
"Coahuila de Zaragoza","18.91"
"Zacatecas","18.61"
"Sinaloa","18.13"
"Durango","16.26"
"Yucatán","15.16"
"Guanajuato","14.02"
"Guerrero","12.57"
"Tabasco","11.04"
"Quintana Roo","5.28"
"Chiapas","5.07"
"Campeche","1.23"
