"Estado","% Ocupación"
"Aguascalientes","56.34"
"Zacatecas","39.79"
"Durango","35.89"
"Chihuahua","30.63"
"Sonora","25.27"
"Nuevo León","25.05"
"Baja California","24.81"
"San Luis Potosí","24.78"
"Coahuila de Zaragoza","23.59"
"Baja California Sur","21.81"
"Colima","17.07"
"Ciudad de México","15.90"
"Sinaloa","15.49"
"Jalisco","14.38"
"Tlaxcala","14.28"
"Oaxaca","13.72"
"Puebla","13.01"
"Nayarit","12.12"
"Guanajuato","12.01"
"Michoacán de Ocampo","11.05"
"Querétaro","10.40"
"Tamaulipas","9.67"
"Yucatán","9.34"
"México","8.72"
"Quintana Roo","7.07"
"Hidalgo","7.05"
"Veracruz de Ignacio de La Llave","6.30"
"Morelos","5.00"
"Tabasco","3.04"
"Campeche","2.58"
"Guerrero","1.93"
"Chiapas","0.39"
