"Estado","% Ocupación"
"Baja California","36.70"
"Sonora","28.22"
"Chihuahua","25.71"
"Aguascalientes","24.39"
"Puebla","18.62"
"Nuevo León","17.34"
"Coahuila de Zaragoza","15.45"
"Durango","15.11"
"Querétaro","14.48"
"Tlaxcala","13.88"
"Yucatán","12.66"
"Ciudad de México","11.61"
"Jalisco","11.08"
"Tamaulipas","10.98"
"Morelos","10.25"
"Michoacán de Ocampo","10.10"
"San Luis Potosí","9.91"
"Hidalgo","9.64"
"Colima","9.43"
"Tabasco","9.33"
"México","9.24"
"Guanajuato","8.80"
"Zacatecas","8.25"
"Oaxaca","6.00"
"Veracruz de Ignacio de La Llave","4.60"
"Sinaloa","4.21"
"Nayarit","3.77"
"Baja California Sur","2.58"
"Quintana Roo","2.42"
"Guerrero","2.35"
"Chiapas","2.24"
"Campeche","0.00"
