"Estado","% Ocupación"
"Aguascalientes","44.89"
"Nuevo León","26.45"
"Ciudad de México","20.65"
"Durango","18.47"
"Colima","18.18"
"Chihuahua","18.07"
"Querétaro","15.09"
"Baja California Sur","13.72"
"Sinaloa","12.69"
"Tlaxcala","11.76"
"Veracruz de Ignacio de La Llave","11.00"
"Puebla","10.92"
"Jalisco","10.56"
"Zacatecas","10.46"
"Sonora","10.13"
"Coahuila de Zaragoza","9.91"
"Tamaulipas","9.09"
"Guerrero","8.82"
"Oaxaca","8.79"
"Hidalgo","8.69"
"Baja California","7.58"
"Michoacán de Ocampo","6.82"
"México","6.22"
"Nayarit","5.37"
"Guanajuato","5.18"
"Quintana Roo","4.86"
"San Luis Potosí","4.41"
"Tabasco","3.64"
"Morelos","3.62"
"Chiapas","3.53"
"Yucatán","1.90"
"Campeche","1.00"
