"Estado","% Ocupación"
"Aguascalientes","46.87"
"Colima","33.33"
"Tlaxcala","33.33"
"Baja California","32.91"
"Tabasco","27.38"
"Nayarit","26.78"
"Morelos","25.00"
"Jalisco","23.92"
"Puebla","22.84"
"Tamaulipas","22.54"
"Ciudad de México","22.31"
"Chihuahua","21.98"
"México","21.03"
"Nuevo León","20.65"
"Yucatán","20.31"
"San Luis Potosí","20.00"
"Querétaro","19.91"
"Michoacán de Ocampo","19.90"
"Durango","19.56"
"Hidalgo","19.28"
"Veracruz de Ignacio de La Llave","18.68"
"Sonora","17.76"
"Oaxaca","15.83"
"Guanajuato","13.85"
"Zacatecas","13.63"
"Coahuila de Zaragoza","10.61"
"Sinaloa","10.00"
"Campeche","7.37"
"Chiapas","6.01"
"Quintana Roo","3.98"
"Guerrero","2.81"
"Baja California Sur","0.00"
