"Estado","% Ocupación"
"Aguascalientes","67.46"
"Zacatecas","42.96"
"Ciudad de México","42.89"
"Chihuahua","39.66"
"Durango","34.65"
"Nuevo León","33.99"
"Nayarit","32.72"
"Baja California","32.05"
"Jalisco","32.04"
"Sonora","32.00"
"Coahuila de Zaragoza","31.13"
"Colima","30.00"
"San Luis Potosí","28.46"
"Baja California Sur","28.23"
"Morelos","27.86"
"Querétaro","23.17"
"Sinaloa","22.89"
"Oaxaca","22.22"
"Hidalgo","22.10"
"Yucatán","20.57"
"Puebla","20.52"
"México","19.80"
"Tamaulipas","18.84"
"Michoacán de Ocampo","12.87"
"Veracruz de Ignacio de La Llave","12.74"
"Quintana Roo","12.44"
"Tabasco","12.10"
"Tlaxcala","11.76"
"Guanajuato","10.99"
"Guerrero","7.18"
"Chiapas","3.67"
"Campeche","1.76"
