"Estado","% Ocupación"
"Querétaro","100.00"
"Aguascalientes","45.45"
"Ciudad de México","37.25"
"Puebla","30.76"
"Coahuila de Zaragoza","30.76"
"Nuevo León","27.94"
"Sonora","19.23"
"Jalisco","18.12"
"Sinaloa","17.85"
"México","17.24"
"Oaxaca","16.66"
"Tabasco","16.66"
"Michoacán de Ocampo","16.66"
"Veracruz de Ignacio de La Llave","14.54"
"Tamaulipas","14.03"
"San Luis Potosí","13.33"
"Chihuahua","12.82"
"Zacatecas","11.11"
"Yucatán","8.00"
"Hidalgo","7.69"
"Guanajuato","7.40"
"Baja California","7.14"
"Durango","4.00"
"Campeche","3.33"
"Guerrero","2.50"
"Baja California Sur","0.00"
"Nayarit","0.00"
"Colima","0.00"
"Morelos","0.00"
"Tlaxcala","0.00"
"Chiapas","0.00"
"Quintana Roo","0.00"
