"Estado","% Ocupación"
"Aguascalientes","48.64"
"Chihuahua","33.49"
"Baja California","30.82"
"Sonora","23.75"
"Coahuila de Zaragoza","22.61"
"Durango","19.69"
"Zacatecas","15.59"
"Sinaloa","10.63"
"Nuevo León","10.42"
"Ciudad de México","10.30"
"San Luis Potosí","8.62"
"Jalisco","8.50"
"Guanajuato","8.44"
"Tlaxcala","7.81"
"Puebla","6.71"
"Querétaro","6.04"
"Tamaulipas","5.72"
"México","4.65"
"Yucatán","4.54"
"Hidalgo","4.21"
"Veracruz de Ignacio de La Llave","4.11"
"Nayarit","4.08"
"Baja California Sur","3.93"
"Morelos","3.63"
"Michoacán de Ocampo","3.60"
"Colima","2.77"
"Oaxaca","2.29"
"Guerrero","1.88"
"Tabasco","1.84"
"Chiapas","0.76"
"Quintana Roo","0.00"
"Campeche","0.00"
